dest_ip,metadata_comment
68.183.240.0/22,AS14061 IPv4
134.209.0.0/20,AS14061 IPv4
45.55.128.0/18,AS62567 IPv4
24.199.96.0/20,AS14061
164.92.128.0/20,AS14061
174.138.80.0/20,AS62567 IPv4
188.166.240.0/20,AS14061 IPv4
209.97.128.0/20,AS14061
2604:a880:1::/48,AS14061
159.223.80.0/20,AS14061
170.64.192.0/19,AS14061 IPv4
143.198.240.0/22,AS14061 IPv4
157.245.192.0/20,AS14061 IPv4
143.244.200.0/22,AS14061 IPv4
143.198.0.0/20,AS14061 IPv4
139.59.216.0/22,AS14061 IPv4
165.22.208.0/20,AS14061 IPv4
142.93.240.0/20,AS14061
206.189.80.0/20,AS14061 IPv4
64.225.112.0/20,AS14061 IPv4
129.212.192.0/22,AS14061 IPv4
134.209.80.0/20,AS14061 IPv4
82.196.0.0/20,AS14061
209.38.128.0/19,AS14061 IPv4
68.183.244.0/22,AS14061 IPv4
143.110.128.0/20,AS14061 IPv4
143.244.128.0/17,ASN not found
142.93.64.0/20,AS14061
138.68.224.0/20,AS14061
104.248.160.0/20,AS14061 IPv4
178.128.128.0/22,AS14061 IPv4
134.199.144.0/20,AS14061 IPv4
138.197.112.0/20,AS14061
208.68.36.0/22,AS62567 IPv4
161.35.32.0/20,AS14061
64.23.240.0/20,AS14061 IPv4
64.227.48.0/20,AS14061 IPv4
138.197.52.0/22,AS14061
164.90.240.0/22,AS14061
138.68.40.0/21,AS14061 IPv4
64.23.160.0/20,AS14061 IPv4
64.225.16.0/20,AS14061
159.65.224.0/20,AS62567 IPv4
134.199.176.0/22,AS14061
209.38.16.0/20,AS14061 IPv4
134.209.16.0/20,AS14061 IPv4
104.131.0.0/18,AS14061
134.209.48.0/20,AS14061
138.197.80.0/20,AS14061 IPv4
69.55.55.0/24,AS14061 IPv4
167.172.160.0/20,AS14061 IPv4
45.55.192.0/18,AS14061
159.65.48.0/20,AS14061
165.227.244.0/22,AS14061 IPv4
138.68.204.0/22,AS14061
159.203.152.0/22,AS62567 IPv4
174.138.124.0/22,AS62567 IPv4
167.71.208.0/20,AS14061 IPv4
143.198.80.0/20,AS14061 IPv4
152.42.192.0/19,AS14061 IPv4
207.154.224.0/20,AS14061
138.68.116.0/22,AS14061 IPv4
209.38.80.0/20,AS14061 IPv4
139.59.160.0/20,AS14061
137.184.64.0/20,AS14061 IPv4
164.90.160.0/20,AS14061 IPv4
67.205.176.0/20,AS62567 IPv4
159.223.192.0/20,AS14061
103.253.144.0/22,AS14061 IPv4
104.236.0.0/18,AS14061 IPv4
143.198.32.0/20,AS14061
165.232.80.0/20,AS14061 IPv4
138.68.192.0/22,AS14061
143.244.212.0/22,AS14061 IPv4
164.90.250.0/24,AS14061
165.227.32.0/20,AS14061 IPv4
167.99.128.0/20,AS14061 IPv4
159.89.112.0/20,AS14061 IPv4
138.68.120.0/23,AS14061
37.139.0.0/19,AS14061 IPv4
138.197.96.0/20,AS14061 IPv4
146.190.64.0/20,AS14061 IPv4
188.166.160.0/21,AS14061
159.65.216.0/21,AS14061
80.240.128.0/20,AS14061 IPv4
143.244.208.0/22,AS14061 IPv4
146.190.80.0/20,AS14061 IPv4
67.207.64.0/19,ASN not found
206.189.64.0/20,AS14061
137.184.112.0/20,AS14061 IPv4
162.243.176.0/21,AS62567 IPv4
