dest_ip,metadata_comment
2a02:26f7:f800::/48,AS36183 IPv6
2a02:26f7:c944::/48,AS36183
23.73.219.0/24,AS20940 IPv4
23.215.128.0/23,AS16625 IPv4
2a02:26f7:130::/48,AS36183
189.247.209.0/24,AS20940 IPv4
104.98.119.0/24,AS35994 IPv4
2a02:26f7:b0df::/48,AS36183 IPv6
104.73.162.0/24,AS34164 IPv4
23.46.24.0/23,AS20940 IPv4
23.192.104.0/22,AS20940 IPv4
45.79.236.0/24,AS63949 IPv4
92.123.133.0/24,AS20940 IPv4
95.100.253.0/24,AS32787
213.52.130.0/24,AS63949 IPv4
2a02:26f7:cc54::/48,AS36183 IPv6
23.62.23.0/24,AS20940 IPv4
2a02:26f7:c356::/48,AS36183 IPv6
23.48.246.0/24,AS20940 IPv4
104.115.81.0/24,AS20940 IPv4
2600:3c02::/32,AS63949 IPv6
2600:1404:6c00::/48,AS20940
2600:1407:22::/48,AS35994
2a02:2370:202::/48,AS32787 IPv6
172.233.128.0/19,AS63949 IPv4
2.23.20.0/22,AS16625 IPv4
2.19.98.0/24,AS20940 IPv4
23.5.0.0/20,AS16625 IPv4
184.51.109.0/24,AS24319 IPv4
23.222.28.0/23,AS20940 IPv4
2600:3c12:c00::/40,AS63949 IPv6
2a02:26f7:c009::/48,AS36183
23.53.40.0/22,AS20940 IPv4
23.223.30.0/24,AS20940 IPv4
2a02:26f7:78::/48,AS36183 IPv6
172.224.81.0/24,AS36183 IPv4
92.123.180.0/23,AS20940 IPv4
2a02:26f7:de48::/48,AS36183
23.214.92.0/24,AS20940 IPv4
2a02:26f7:d908::/48,AS36183
23.193.58.0/23,AS35994 IPv4
23.209.104.0/24,AS34164 IPv4
23.47.149.0/24,AS20940 IPv4
23.56.239.0/24,AS20940 IPv4
2.21.69.0/24,AS20940
23.42.188.0/22,AS16625 IPv4
2.21.104.0/22,AS16625
2a02:26f7:de40::/48,AS36183 IPv6
23.44.227.0/24,AS20940 IPv4
95.101.148.0/22,AS16625 IPv4
2600:1488:5fc0::/48,AS20940 IPv6
23.15.139.0/24,AS20940 IPv4
92.122.16.0/22,AS16625
2a02:26f7:b111::/48,AS36183 IPv6
2.23.196.0/22,AS16625 IPv4
23.203.112.0/22,AS16625 IPv4
23.44.196.0/22,AS20940
23.204.99.0/24,AS20940 IPv4
104.64.32.0/19,AS63949 IPv4
23.48.84.0/23,AS16625 IPv4
2a02:26f7:b450::/48,AS20940
111.108.54.0/24,AS24319 IPv4
184.31.232.0/22,AS20940 IPv4
23.60.174.0/23,AS16625 IPv4
2600:1408:20::/48,AS20940 IPv6
23.39.208.0/24,AS20940 IPv4
