dest_ip,metadata_comment
137.83.177.0/24,AS62044
137.83.162.0/24,AS62044 IPv4
2400:7aa0:2200::/40,AS53813 IPv6
147.161.220.0/23,AS53813
136.226.166.0/23,AS62044 IPv4
137.83.146.0/24,AS22616
2a03:eec0:1a00::/40,AS62044 IPv6
209.55.129.0/24,AS53813 IPv4
147.161.254.0/23,AS62044
209.55.154.0/24,AS62044 IPv4
167.103.44.0/23,AS53813
