dest_ip,dest_nt_domain,dest_port
103.216.220.34,au-bne-wg-302.relays.mullvad.net,51820
2404:f780:4:dec::a02f,au-bne-wg-302.relays.mullvad.net,51820
103.108.229.50,au-mel-wg-301.relays.mullvad.net,51820
2406:d501:f:deb::a01f,au-mel-wg-301.relays.mullvad.net,51820
103.108.229.66,au-mel-wg-302.relays.mullvad.net,51820
2406:d501:f:dec::a02f,au-mel-wg-302.relays.mullvad.net,51820
103.108.231.50,au-per-wg-301.relays.mullvad.net,51820
2404:f780:8:deb::a01f,au-per-wg-301.relays.mullvad.net,51820
103.108.231.66,au-per-wg-302.relays.mullvad.net,51820
2404:f780:8:dec::f001,au-per-wg-302.relays.mullvad.net,51820
146.70.200.2,au-syd-wg-001.relays.mullvad.net,51820
2001:ac8:84:5::f001,au-syd-wg-001.relays.mullvad.net,51820
146.70.141.194,au-syd-wg-002.relays.mullvad.net,51820
2001:ac8:84:6::2f,au-syd-wg-002.relays.mullvad.net,51820
146.70.200.194,au-syd-wg-003.relays.mullvad.net,51820
2001:ac8:84:4::3f,au-syd-wg-003.relays.mullvad.net,51820
103.136.147.3,au-syd-wg-101.relays.mullvad.net,51820
2a11:3:500::f001,au-syd-wg-101.relays.mullvad.net,51820
103.136.147.65,au-syd-wg-102.relays.mullvad.net,51820
2a11:3:500::f101,au-syd-wg-102.relays.mullvad.net,51820
103.136.147.129,au-syd-wg-103.relays.mullvad.net,51820
2a11:3:500::f201,au-syd-wg-103.relays.mullvad.net,51820
103.136.147.197,au-syd-wg-104.relays.mullvad.net,51820
2a11:3:500::f301,au-syd-wg-104.relays.mullvad.net,51820
103.120.6.2,au-syd-wg-301.relays.mullvad.net,51820
2a06:3040:18:210::f001,au-syd-wg-301.relays.mullvad.net,51820
103.120.6.127,au-syd-wg-302.relays.mullvad.net,51820
2a06:3040:18:210::f101,au-syd-wg-302.relays.mullvad.net,51820
103.141.60.2,au-syd-wg-303.relays.mullvad.net,51820
2a06:3040:18:210::f201,au-syd-wg-303.relays.mullvad.net,51820
103.141.60.127,au-syd-wg-304.relays.mullvad.net,51820
