geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3067027,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",634,,,,Europe/Prague,1
3067051,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20C,,Rakonitz,,Europe/Prague,1
3067080,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",641,,,,Europe/Prague,1
3067105,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",511,"Kreis Böhmisch Leipa",,,Europe/Prague,1
3067174,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",326,,,,Europe/Prague,1
3067296,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,201,,,,Europe/Prague,1
3067368,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20A,,,,Europe/Prague,1
3067375,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",721,,,,Europe/Prague,1
3067395,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",314,,,,Europe/Prague,1
3067421,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",713,,Prossnitz,,Europe/Prague,1
3067424,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",647,,,,Europe/Prague,1
3067456,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,207,,,,Europe/Prague,1
3067461,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",426,,,,Europe/Prague,1
3067489,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,204,,,,Europe/Prague,1
3067499,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",327,,,,Europe/Prague,1
3067531,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3067535,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",631,,,,Europe/Prague,1
3067542,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20B,,Příbram,,Europe/Prague,1
3067544,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",804,,Freiberg,,Europe/Prague,1
3067548,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,209,,,,Europe/Prague,1
3067553,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",324,"Kreis Pilsen-Süd",,,Europe/Prague,1
3067561,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",324,"Kreis Pilsen-Süd",,,Europe/Prague,1
3067565,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",427,,Pristen,,Europe/Prague,1
3067580,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",714,,Přerov,,Europe/Prague,1
3067594,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,,,Europe/Prague,1
3067627,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",521,,,,Europe/Prague,1
3067628,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,207,,,,Europe/Prague,1
3067631,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3067690,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",722,,,,Europe/Prague,1
3067695,de,EU,Europa,CZ,Tschechien,10,Prag,,,,,Europe/Prague,1
3067696,de,EU,Europa,CZ,Tschechien,10,Prag,,,Prag,,Europe/Prague,1
3067713,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",315,,Prachatitz,,Europe/Prague,1
3067766,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",321,,,,Europe/Prague,1
3067783,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,201,,,,Europe/Prague,1
3067870,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",632,,,,Europe/Prague,1
3067882,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",533,,,,Europe/Prague,1
3067885,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",523,,"Politz an der Mettau",,Europe/Prague,1
3067897,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",423,,,,Europe/Prague,1
