src_ip_entry,src_ip_exit,src_country_entry,src_country_exit
195.178.172.189,185.159.156.20,SE,SE
195.178.172.189,185.159.156.9,SE,SE
195.178.172.189,185.159.156.10,SE,SE
195.178.172.188,185.159.156.3,SE,SE
195.178.172.188,185.159.156.4,SE,SE
195.178.172.188,185.159.156.17,SE,SE
195.178.172.188,185.159.156.18,SE,SE
195.178.172.188,185.159.156.7,SE,SE
195.178.172.188,185.159.156.8,SE,SE
45.128.133.226,45.128.133.230,BE,BE
45.128.133.226,45.128.133.231,BE,BE
45.128.133.226,45.128.133.232,BE,BE
45.128.133.226,45.128.133.233,BE,BE
45.128.133.226,45.128.133.234,BE,BE
45.128.133.226,45.128.133.227,BE,BE
45.128.133.226,45.128.133.228,BE,BE
45.128.133.226,45.128.133.229,BE,BE
45.128.133.226,45.128.133.218,BE,BE
45.128.133.226,45.128.133.219,BE,BE
45.128.133.226,45.128.133.220,BE,BE
45.128.133.226,45.128.133.221,BE,BE
45.128.133.226,45.128.133.222,BE,BE
185.90.60.210,185.90.60.211,FI,FI
185.90.60.210,185.90.60.212,FI,FI
185.90.60.210,185.90.60.213,FI,FI
185.90.60.210,185.90.60.214,FI,FI
185.90.60.210,185.90.60.215,FI,FI
185.90.60.210,185.90.60.216,FI,FI
185.90.60.210,185.90.60.217,FI,FI
185.90.60.210,185.90.60.218,FI,FI
185.90.60.210,185.90.60.219,FI,FI
185.90.60.210,185.90.60.220,FI,FI
185.90.60.210,185.90.60.221,FI,FI
185.90.60.210,185.90.60.222,FI,FI
185.90.60.210,185.90.60.226,FI,FI
185.90.60.210,185.90.60.227,FI,FI
185.90.60.210,185.90.60.228,FI,FI
185.90.60.210,185.90.60.229,FI,FI
185.90.60.210,185.90.60.230,FI,FI
45.128.134.194,45.128.134.197,FR,FR
45.128.134.194,45.128.134.198,FR,FR
45.128.134.194,45.128.134.195,FR,FR
45.128.134.194,45.128.134.196,FR,FR
45.128.134.194,45.128.134.82,FR,FR
45.128.134.194,45.128.134.83,FR,FR
45.128.134.194,45.128.134.84,FR,FR
45.128.134.194,45.128.134.85,FR,FR
45.128.134.194,45.128.134.86,FR,FR
45.128.134.194,45.128.134.87,FR,FR
45.128.134.194,45.128.134.88,FR,FR
45.128.134.194,45.128.134.89,FR,FR
45.128.134.194,45.128.134.90,FR,FR
45.128.134.194,45.128.134.91,FR,FR
45.128.134.194,45.128.134.92,FR,FR
45.128.134.194,45.128.134.93,FR,FR
45.128.134.194,45.128.134.94,FR,FR
79.127.254.92,79.127.254.93,CA,CA
79.127.254.92,79.127.254.94,CA,CA
79.127.254.92,79.127.254.95,CA,CA
79.127.254.92,79.127.254.96,CA,CA
79.127.254.92,79.127.254.97,CA,CA
79.127.254.92,79.127.254.98,CA,CA
79.127.254.92,79.127.254.99,CA,CA
79.127.254.92,79.127.254.100,CA,CA
79.127.254.92,79.127.254.101,CA,CA
79.127.254.92,79.127.254.102,CA,CA
79.127.254.92,79.127.254.103,CA,CA
