as_number,rir,domain,cc,asname
208485,ripencc,eksenbilisim.com.tr,TR,EKSENBILISIM
209121,ripencc,liptel.net.ua,UA,NOVYTSKA-AS
209309,ripencc,changway.hk,HK,ONIKS-AS
209605,ripencc,serveroffer.lt,LT,hostbaltic
209737,ripencc,meric.net.tr,TR,AS209737
210240,ripencc,nts.center,RU,NTC-AS
210530,ripencc,ipconnect.services,SC,ip2con
210546,ripencc,hostinux.com,UA,AS-WAF
210644,ripencc,aeza.net,RU,AEZA-AS
210756,ripencc,62yun.com,RU,EdgeCenterLLC
210848,ripencc,server-panel.org,SC,TK-NET
210919,ripencc,idodns.com,JP,seacom
210950,ripencc,erishennya,UA,ERISHENNYA-ASN
211121,ripencc,imtigernet,GB,tiger-msk
211199,ripencc,liptel.net.ua,UA,LIPTEL-AS
211238,ripencc,zumy.eu,IN,DCYBER
211619,ripencc,maxko.org,HR,MAXKO
211659,ripencc,stimllc.ru,RU,STIMUL-AS
211673,ripencc,mynymbox.io,KN,Mynymbox
211720,ripencc,xor.sc,SC,DATASHIELD_CH
211762,ripencc,fineproxy.org,RU,REGION40
211849,ripencc,62yun.com,RU,KAKHAROV-AS
211922,ripencc,ipconnect.services,SC,IPDISTR
212017,ripencc,cubilloconstrucciones.com,ES,CUBILLO
212283,ripencc,rosa-holidays.com,BG,ROZA-AS
212448,ripencc,turkbil.com.tr,TR,turkbil
212651,ripencc,d-conect,UA,D-CONECT-AS
212701,ripencc,hostinux.com,UA,HOSTINUX-AS
212867,ripencc,brutalproxies.com,NL,SIPALTO
213058,ripencc,privateinternethosting,UA,PIHL-AS
213257,ripencc,meric.net.tr,TR,AS213257
213354,ripencc,hosting.international,GB,International-Hosting-Solutions-AS
213355,ripencc,changway.hk,HK,HGN-AS
213371,ripencc,zumy.eu,IN,SQUITTER-NETWORKS
213373,ripencc,ipconnect.services,SC,IPCONNECT
213389,ripencc,netip.com.ua,UA,ASPODOLSK
213438,ripencc,colocatel.com,SC,colocatel-inc
213511,ripencc,vonie.net,TR,VSVK
213622,ripencc,baremetal.ae,AE,BAREMETAL
213659,ripencc,eksenbilisim.com.tr,TR,SEYMEN-CIFTCI
213676,ripencc,eksenbilisim.com.tr,TR,NEO_INTERNET
213790,ripencc,btcloud.ro,GB,LimitedNetwork-AS
213828,ripencc,whitelabel.sh,IL,OXIWAVE-AS
213889,ripencc,meric.net.tr,TR,AS209737
213921,ripencc,davidascottmotorsltd,GB,DA-MOTORS-AS
