process,metadata_binary,metadata_function,metadata_binary_functions,metadata_link,metadata_confidence,metadata_confidence
*cpio -o --rsh-command /bin/sh -F *:*,cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
"*echo ""$*"" | cpio -dp $*",cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
"*echo ""$*"" | ./cpio -R * -dp *",cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
*echo * | ./cpio -R 0:0 -p *,cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
*sudo cpio -o --rsh-command /bin/sh -F *:*,cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
*echo * | sudo cpio -R 0:0 -p *,cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
*cpulimit -l 100 -f /bin/sh*,cpulimit,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpulimit/,,
*cpulimit -l 100 -f -- /bin/sh -p*,cpulimit,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpulimit/,,
*sudo cpulimit -l 100 -f /bin/sh*,cpulimit,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpulimit/,,
*sudo crash -h*,crash,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/crash/,,
*CRASHPAGER=*/usr/bin/id* crash -h*,crash,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/crash/,,
"*CRASHPAGER=""$*"" crash -h*",crash,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/crash/,,
*crash -h*!sh*,crash,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/crash/,,
*sudo crontab -e*,crontab,,Command - Sudo,https://gtfobins.github.io/gtfobins/crontab/,,
*sudo csh*,csh,,Shell - File write - SUID - Sudo,https://gtfobins.github.io/gtfobins/csh/,,
*./csh -b,csh,,Shell - File write - SUID - Sudo,https://gtfobins.github.io/gtfobins/csh/,,
*csplit -z -b * */* 1*,csplit,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csplit/,,
*csplit $* 1*,csplit,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csplit/,,
*csvtool call '/bin/sh;false' /etc/passwd*,csvtool,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csvtool/,,
*csvtool trim t $*,csvtool,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csvtool/,,
*csvtool trim t */*,csvtool,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csvtool/,,
*./csvtool trim t $*,csvtool,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/csvtool/,,
*cupsfilter -i application/octet-stream -m application/octet-stream *,cupsfilter,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cupsfilter/,,
*curl -X POST -d *@* http*,curl,,File upload - File download - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/curl/,,
"*curl *file://*"" -o *",curl,,File upload - File download - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/curl/,,
*sudo curl http* -o *,curl,,File upload - File download - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/curl/,,
"*sudo cut -d """" -f1 *",cut,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cut/,,
