dest_ip,dest_port
105.30.248.241,1080
105.30.55.2,8080
106.227.12.125,25000
106.51.185.233,8080
107.150.123.97,443
107.161.9.167,8080
107.172.156.27,5675
107.172.163.143,6659
107.173.105.155,5842
107.173.105.246,5933
107.173.132.254,7208
107.173.153.119,2080
107.173.36.158,5613
107.173.93.211,6165
107.174.180.234,8118
107.174.194.254,5696
107.174.215.202,8143
107.174.25.211,5665
107.175.119.143,6671
107.175.119.183,6711
107.175.119.212,6740
107.175.119.227,6755
107.175.135.100,6541
107.175.208.231,6172
107.175.56.229,6502
107.175.56.42,6315
107.181.148.130,5990
107.181.148.178,6038
107.181.148.185,6045
107.181.154.113,5791
108.161.135.118,80
108.162.193.151,80
108.162.198.241,80
108.170.12.10,80
108.170.12.13,80
108.181.123.113,3128
108.181.123.113,3129
109.111.251.158,6666
109.120.138.144,1080
109.120.138.241,1080
109.160.97.49,4145
109.195.98.7,21776
109.196.136.137,1080
109.199.108.128,4080
109.199.119.160,80
109.199.96.116,9050
109.200.155.195,8080
109.200.159.29,8080
109.224.12.170,52015
109.224.242.151,8080
109.224.242.209,8080
109.238.181.53,8083
109.248.236.150,60606
109.248.249.33,8081
109.71.244.97,1080
109.72.107.227,48293
109.86.182.203,3128
109.94.1.23,4050
110.16.77.101,8082
110.16.77.102,8082
110.164.128.124,8080
110.164.162.45,80
110.164.162.45,8080
110.164.208.125,8888
110.232.66.209,808
110.232.80.11,8080
110.235.246.220,45212
110.235.249.226,8080
110.235.252.74,1080
110.34.1.180,32650
110.34.1.180,80
110.34.13.4,8080
110.34.8.110,8080
110.39.15.206,8082
110.44.169.100,4444
110.49.11.50,8080
110.49.34.126,32650
110.49.53.69,8081
110.74.195.34,25
110.74.203.250,8080
110.74.219.3,8080
110.76.144.83,8080
110.76.145.118,1111
110.76.147.25,8090
110.76.147.26,1111
110.77.180.182,80
110.82.222.32,8089
111.224.212.241,8089
111.225.152.112,8089
111.225.152.120,8089
111.225.152.158,8089
111.225.152.15,8089
111.225.152.230,8089
111.225.152.23,8089
111.225.152.246,8089
111.225.152.2,8089
111.225.152.39,8089
111.225.152.48,8089
111.225.152.56,8089
111.225.152.86,8089
111.225.153.117,8089
111.225.153.11,8089
111.225.153.136,8089
111.225.153.142,8089
111.225.153.178,8089
111.225.153.187,8089
111.225.153.201,8089
111.225.153.207,8089
111.225.153.220,8089
111.225.153.236,8089
111.225.153.251,8089
111.225.153.27,8089
111.225.153.4,8089
111.225.153.67,8089
111.67.103.90,1080
111.68.26.237,8080
111.74.1.65,13382
111.79.111.126,3128
111.90.169.178,5678
111.90.188.245,41890
112.119.43.57,80
112.14.47.6,52024
112.196.79.14,3129
112.198.138.14,8082
112.198.138.29,8082
112.198.179.67,8080
112.198.22.122,80
112.250.107.37,53281
112.28.149.152,8443
112.5.128.78,8060
112.65.132.181,3129
112.78.131.91,8080
