fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
homoglyph,xn--labanqepstale-bmb1d.fr,,,,
homoglyph,xn--labanqepstale-bmb1g.fr,,,,
homoglyph,xn--labanqepstale-bmb6e.fr,,,,
homoglyph,xn--labanqepstale-bmb6h.fr,,,,
homoglyph,xn--labanqepstale-ilb1g.fr,,,,
homoglyph,xn--labanqepstale-ilb1j.fr,,,,
homoglyph,xn--labanqepstale-ilb6h.fr,,,,
homoglyph,xn--labanqepstale-ilb6k.fr,,,,
homoglyph,xn--labanqepstale-pmb1d.fr,,,,
homoglyph,xn--labanqepstale-pmb1g.fr,,,,
homoglyph,xn--labanqepstale-pmb6b.fr,,,,
homoglyph,xn--labanqepstale-pmb6e.fr,,,,
homoglyph,xn--labanqepstale-wlb1g.fr,,,,
homoglyph,xn--labanqepstale-wlb1j.fr,,,,
homoglyph,xn--labanqepstale-wlb6e.fr,,,,
homoglyph,xn--labanqepstale-wlb6h.fr,,,,
homoglyph,xn--labanqpostale-1gb31a.fr,,,,
homoglyph,xn--labanqpostale-1gb3y.fr,,,,
homoglyph,xn--labanqpostale-1gb8w.fr,,,,
homoglyph,xn--labanqpostale-1gb8z.fr,,,,
homoglyph,xn--labanqpostale-8hb3s.fr,,,,
homoglyph,xn--labanqpostale-8hb3v.fr,,,,
homoglyph,xn--labanqpostale-8hb8t.fr,,,,
homoglyph,xn--labanqpostale-8hb8w.fr,,,,
homoglyph,xn--labanqpostale-ghb3v.fr,,,,
homoglyph,xn--labanqpostale-ghb3y.fr,,,,
homoglyph,xn--labanqpostale-ghb8w.fr,,,,
homoglyph,xn--labanqpostale-ghb8z.fr,,,,
homoglyph,xn--labanqpostale-uhb3v.fr,,,,
homoglyph,xn--labanqpostale-uhb3y.fr,,,,
homoglyph,xn--labanqpostale-uhb8t.fr,,,,
homoglyph,xn--labanqpostale-uhb8w.fr,,,,
homoglyph,xn--labanqucpostal-3kb.fr,,,,
homoglyph,xn--labanqucpostal-8jb.fr,,,,
homoglyph,xn--labanqucpostal-jlb.fr,,,,
homoglyph,xn--labanqucpostal-okb.fr,,,,
homoglyph,xn--labanqucpostle-1hb.fr,,,,
homoglyph,xn--labanqucpostle-6gb.fr,,,,
homoglyph,xn--labanqucpostle-hib.fr,,,,
homoglyph,xn--labanqucpostle-mhb.fr,,,,
homoglyph,xn--labanqucpostle-rgb.fr,,,,
homoglyph,xn--labanqucpostle-wib.fr,,,,
homoglyph,xn--labanqucpstale-3pb.fr,,,,
homoglyph,xn--labanqucpstale-8ob.fr,,,,
homoglyph,xn--labanqucpstale-eob.fr,,,,
homoglyph,xn--labanqucpstale-opb.fr,,,,
homoglyph,xn--labanqucpstale-tob.fr,,,,
homoglyph,xn--labanquep0stal-3kb.fr,,,,
homoglyph,xn--labanquep0stal-8jb.fr,,,,
homoglyph,xn--labanquep0stal-jlb.fr,,,,
homoglyph,xn--labanquep0stal-okb.fr,,,,
homoglyph,xn--labanquep0stle-1hb.fr,,,,
homoglyph,xn--labanquep0stle-6gb.fr,,,,
homoglyph,xn--labanquep0stle-hib.fr,,,,
homoglyph,xn--labanquep0stle-mhb.fr,,,,
homoglyph,xn--labanquep0stle-rgb.fr,,,,
homoglyph,xn--labanquep0stle-wib.fr,,,,
homoglyph,xn--labanquepost1e-1hb.fr,,,,
homoglyph,xn--labanquepost1e-6gb.fr,,,,
homoglyph,xn--labanquepost1e-hib.fr,,,,
homoglyph,xn--labanquepost1e-mhb.fr,,,,
homoglyph,xn--labanquepost1e-rgb.fr,,,,
homoglyph,xn--labanquepost1e-wib.fr,,,,
homoglyph,xn--labanqueposta1-3kb.fr,,,,
homoglyph,xn--labanqueposta1-8jb.fr,,,,
homoglyph,xn--labanqueposta1-jlb.fr,,,,
homoglyph,xn--labanqueposta1-okb.fr,,,,
homoglyph,xn--labanquepostae-7mb.fr,,,,
homoglyph,xn--labanquepostae-dmb.fr,,,,
homoglyph,xn--labanquepostae-smb.fr,,,,
homoglyph,xn--labanquepostae-xlb.fr,,,,
homoglyph,xn--labanquepostai-3kb.fr,,,,
