process,OriginalFileName,process_name,parent_process_command,parent_process_name,file_path,process_path,parent_process,signature,signature_id,index,sourcetype,source,meta.comment,meta.vendor_product,meta.lolbas_executable,meta.lolbas_link
,scrcons.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,cscript.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,wscript.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,powershell.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,cmd.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\Outlook.exe https://*,,,,,,,,,,,,,,Microsoft Sysmon,Outlook.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*MSAccess.exe https://*.exe.mdb*,,,,,,,,,,,,,,Microsoft Sysmon,MSAccess.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*MSAccess.exe https://*.dll.mdb*,,,,,,,,,,,,,,Microsoft Sysmon,MSAccess.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*MSAccess.exe https://*.bat.mdb*,,,,,,,,,,,,,,Microsoft Sysmon,MSAccess.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*MSAccess.exe https://*.ps1.mdb*,,,,,,,,,,,,,,Microsoft Sysmon,MSAccess.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*sftp -D *.exe*,,,,,,,,,1,,,,,Microsoft Sysmon,stfp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*sftp.exe* -D *.exe*,,,,,,,,,1,,,,,Microsoft Sysmon,stfp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*sftp.exe* -S *.exe localhost*,,,,,,,,,1,,,,,Microsoft Sysmon,stfp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
*sftp -S *.exe localhost*,,,,,,,,,1,,,,,Microsoft Sysmon,stfp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/288/files
"*scp -S *.exe"" *.*",,,,,,,,,1,,,,,Microsoft Sysmon,scp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/265/files
*scp -S *.exe *.*,,,,,,,,,1,,,,,Microsoft Sysmon,scp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/265/files
*scp.exe* -S *.exe *.*,,,,,,,,,1,,,,,Microsoft Sysmon,scp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/265/files
"*scp.exe* -S *.exe"" *.*",,,,,,,,,1,,,,,Microsoft Sysmon,scp.exe,https://github.com/LOLBAS-Project/LOLBAS/pull/265/files
