src_ip,service,scope,metadata_reference
34.118.240.0/22,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.118.244.0/22,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.118.248.0/23,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.118.250.0/23,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.118.252.0/23,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.118.254.0/23,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.120.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.121.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.122.0.0/15,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.124.0.0/21,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.124.8.0/22,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.124.12.0/22,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.124.16.0/21,Google Cloud,southamerica-east1,https://www.gstatic.com/ipranges/cloud.json
34.124.24.0/21,Google Cloud,asia-east2,https://www.gstatic.com/ipranges/cloud.json
34.124.32.0/21,Google Cloud,europe-north1,https://www.gstatic.com/ipranges/cloud.json
34.124.40.0/23,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.124.42.0/23,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.124.44.0/23,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.124.46.0/23,Google Cloud,europe-west6,https://www.gstatic.com/ipranges/cloud.json
34.124.48.0/23,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.124.50.0/23,Google Cloud,northamerica-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.124.52.0/22,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.124.56.0/23,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.124.58.0/23,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.124.60.0/23,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.124.62.0/23,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.124.112.0/20,Google Cloud,northamerica-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.124.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.125.0.0/16,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.126.64.0/18,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
