domain,metadata_comment
crule.boats,Possible Cobalt Strike C2 Domain
cryptoprot.info,Possible Cobalt Strike C2 Fronted Domain
cs.110-110.com,Possible Cobalt Strike C2 Domain
cs.demo888999.com,Possible Cobalt Strike C2 Domain
cs.tpedu2metricstw.dpdns.org,Possible Cobalt Strike C2 Domain
csstatus.0nlinecc.com,Possible Cobalt Strike C2 Domain
cstest.mucfc.store,Possible Cobalt Strike C2 Domain
ct.feliz.icu,Possible Cobalt Strike C2 Domain
d14hh3kwt0vf8s.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
d2.googleos-js.vip,Possible Cobalt Strike C2 Domain
d3vnuv7smlsg9a.cloudfront.net,Possible Cobalt Strike C2 Domain
d3vnuv7smlsg9a.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
dakk5rnsax46s.cfc-execute.su.baidubce.com,Possible Cobalt Strike C2 Domain
dd.googleos-js.vip,Possible Cobalt Strike C2 Domain
dev.googleshop.xyz,Possible Cobalt Strike C2 Domain
developer.huaweicloud.com,Possible Cobalt Strike C2 Fronted Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dns1.globalcdn.autos,Possible Cobalt Strike C2 Domain
domaingroup.eu.cc,Possible Cobalt Strike C2 Domain
down.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
down.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
ds.metric-take-datadqct.com,Possible Cobalt Strike C2 Domain
dutxz8790a6ya.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain
dzeninfra.site,Possible Cobalt Strike C2 Fronted Domain
dzeninfra.xyz,Possible Cobalt Strike C2 Fronted Domain
easyrce.eu.org,Possible Cobalt Strike C2 Domain
ekostroy33.ru,Possible Cobalt Strike C2 Domain
enter.xone.la,Possible Cobalt Strike C2 Domain
etcprofile.biying007.xyz,Possible Cobalt Strike C2 Domain
evil.ritademo.io.vn,Possible Cobalt Strike C2 Domain
f2vwg20bnfcrr.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
flaskproxy-fedg.onrender.com,Possible Cobalt Strike C2 Domain
fq3gm5xphax8c.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
