file_name,metadata_description,metadata_link
RESTORE_FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RESTORE-FILES-Q7ILknn7k.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
revil1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
revil2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
revil3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RFNCW-DECRYPT.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Risen_Guide.hta,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Risen_Guide2.hta,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Risen_Note.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
suncrypt.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
teslacrypt.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
UNLOCK_FILES.*.HTML,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
UNLOCK_MY_FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
vicesociety.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
wastedlocker.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
White_Rabbit.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
yanluowang.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
# DECRYPT MY FILES #.html,,
# DECRYPT MY FILES #.html,,
# DECRYPT MY FILES #.txt,,
# DECRYPT MY FILES #.txt,,
# DECRYPT MY FILES #.vbs,,
# DECRYPT MY FILES #.vbs,,
*@Please_Read_Me@.txt*,,
*@WanaDecryptor@.exe*,,
ATTENTION.RTF,,
BUYUNLOCKCODE,,
BitCryptorFileList.txt,,
Coin.Locker.txt,,
CryptLogFile.txt,,
DECRYPT_INSTRUCTION.TXT,,
DECRYPT_INSTRUCTIONS.HTML,,
DECRYPT_INSTRUCTIONS.HTML,,
DECRYPT_Readme.TXT.ReadMe,,
DECRYPT_Readme.TXT.ReadMe,,
DECRYPT_Readme.TXT.ReadMe,,
DECRYPT_YOUR_FILES.HTML,,
Decrypt All Files *.bmp,,
FILESAREGONE.TXT,,
GetYouFiles.txt,,
