url,dest_host,metadata_dest_ip,metadata_dest_port,metadata_uri_path,metadata_type,metadata_comment,metadata_link
https://chandr1000.net/resolver*,chandr1000.net,104.21.32.247,443,/resolver,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-01.spectrum.com/dns-query*,doh-01.spectrum.com,24.240.146.7,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-02.spectrum.com/dns-query*,doh-02.spectrum.com,24.240.146.8,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.chenu.ch/dns-query*,dns.chenu.ch,141.145.202.228,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://private.canadianshield.cira.ca/dns-query*,private.canadianshield.cira.ca,149.112.121.10,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://protected.canadianshield.cira.ca/dns-query*,protected.canadianshield.cira.ca,149.112.121.20,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://family.canadianshield.cira.ca/dns-query*,family.canadianshield.cira.ca,149.112.121.30,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.circl.lu/dns-query*,dns.circl.lu,185.194.94.71,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.opendns.com/dns-query*,doh.opendns.com,146.112.41.2,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.familyshield.opendns.com/dns-query*,doh.familyshield.opendns.com,146.112.41.3,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.clanless.ovh/dns-query*,dns.clanless.ovh,217.160.68.68,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.cleanbrowsing.org/doh/family-filter/*,doh.cleanbrowsing.org,185.228.168.168,443,/doh,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.cleanbrowsing.org/doh/adult-filter/*,doh.cleanbrowsing.org,185.228.168.168,443,/doh,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.cleanbrowsing.org/doh/security-filter/*,doh.cleanbrowsing.org,185.228.168.168,443,/doh,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://cloud.198.games/dns-query*,cloud.198.games,43.154.23.198,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://cloudflare-dns.com/dns-query*,cloudflare-dns.com,104.16.249.249,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://mozilla.cloudflare-dns.com/dns-query*,mozilla.cloudflare-dns.com,172.64.41.4,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://security.cloudflare-dns.com/dns-query*,security.cloudflare-dns.com,1.0.0.2,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://family.cloudflare-dns.com/dns-query*,family.cloudflare-dns.com,1.1.1.3,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns64.cloudflare-dns.com/dns-query*,dns64.cloudflare-dns.com,Resolution error,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.xfinity.com/dns-query*,doh.xfinity.com,75.75.77.99,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/p0*,freedns.controld.com,76.76.2.11,443,/p0,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/p1*,freedns.controld.com,76.76.2.11,443,/p1,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/p2*,freedns.controld.com,76.76.2.11,443,/p2,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/p3*,freedns.controld.com,76.76.2.11,443,/p3,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/family*,freedns.controld.com,76.76.2.11,443,/family,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-oisd*,freedns.controld.com,76.76.2.11,443,/x-oisd,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-oisd-basic*,freedns.controld.com,76.76.2.11,443,/x-oisd-basic,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-stevenblack*,freedns.controld.com,76.76.2.11,443,/x-stevenblack,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-devdan*,freedns.controld.com,76.76.2.11,443,/x-devdan,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-notracking*,freedns.controld.com,76.76.2.11,443,/x-notracking,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-1hosts-mini*,freedns.controld.com,76.76.2.11,443,/x-1hosts-mini,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-1hosts-lite*,freedns.controld.com,76.76.2.11,443,/x-1hosts-lite,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-1hosts-pro*,freedns.controld.com,76.76.2.11,443,/x-1hosts-pro,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-hagezi-normal*,freedns.controld.com,76.76.2.11,443,/x-hagezi-normal,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-hagezi-pro*,freedns.controld.com,76.76.2.11,443,/x-hagezi-pro,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-hagezi-proplus*,freedns.controld.com,76.76.2.11,443,/x-hagezi-proplus,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-hagezi-ultimate*,freedns.controld.com,76.76.2.11,443,/x-hagezi-ultimate,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-goodbyeads*,freedns.controld.com,76.76.2.11,443,/x-goodbyeads,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://freedns.controld.com/x-adguard*,freedns.controld.com,76.76.2.11,443,/x-adguard,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.cwlys.com/dns-query*,dns.cwlys.com,158.101.133.84,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.cynthialabs.net/dns-query*,dns.cynthialabs.net,104.21.4.234,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://odvr.nic.cz/dns-query*,odvr.nic.cz,185.43.135.1,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.daw.dev/dns-query*,dns.daw.dev,116.203.115.225,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://ns.00dani.me/dns-query*,ns.00dani.me,104.236.116.148,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://darkness.is.my.waifu.cz/dns-query*,darkness.is.my.waifu.cz,116.251.216.207,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://mail.data.haus/dns-query*,mail.data.haus,159.69.123.239,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.datacore.ch/dns-query*,doh.datacore.ch,212.51.138.251,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.datahata.by/dns-query*,doh.datahata.by,31.130.200.100,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.decloudus.com/dns-query*,dns.decloudus.com,78.47.212.211,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-primary-pool.detoxifypornblocker.com/dns-query*,doh-primary-pool.detoxifypornblocker.com,68.183.19.93,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.digitale-gesellschaft.ch/dns-query*,dns.digitale-gesellschaft.ch,185.95.218.42,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://www.digitale-gesellschaft.ch/dns/*,www.digitale-gesellschaft.ch,89.45.227.53,443,/dns,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
