permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
Calls.Initiate.All,284383ee-7f6e-4e40-a2a8-e85dcb029101,-,Initiate outgoing 1 to 1 calls from the app,-,"Allows the app to place outbound calls to a single user and transfer calls to users in your organization's directory, without a signed-in user.",-,Yes,-,no
Calls.InitiateGroupCall.All,4c277553-8a09-487b-8023-29ee378d8324,-,Initiate outgoing group calls from the app,-,"Allows the app to place outbound calls to multiple users and add participants to meetings in your organization, without a signed-in user.",-,Yes,-,no
Calls.JoinGroupCall.All,f6b49018-60ab-4f81-83bd-22caeabfed2d,-,Join group calls and meetings as an app,-,"Allows the app to join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined with the privileges of a directory user to meetings in your organization.",-,Yes,-,no
Calls.JoinGroupCallAsGuest.All,fd7ccf6b-3d28-418b-9701-cd10f5cd2fd4,-,Join group calls and meetings as a guest,-,"Allows the app to anonymously join group calls and scheduled meetings in your organization, without a signed-in user.  The app will be joined as a guest to meetings in your organization.",-,Yes,-,no
Channel.Create,f3a65bd4-b703-46df-8f7e-0174fea562aa,101147cf-4178-4455-9d58-02b5c164e759,Create channels,Create channels,"Create channels in any team, without a signed-in user.","Create channels in any team, on behalf of the signed-in user.",Yes,Yes,no
Channel.Delete.All,6a118a39-1227-45d4-af0c-ea7b40d210bc,cc83893a-e232-4723-b5af-bd0b01bcfe65,Delete channels,Delete channels,"Delete channels in any team, without a signed-in user.","Delete channels in any team, on behalf of the signed-in user.",Yes,Yes,no
Channel.ReadBasic.All,59a6b24b-4225-4393-8165-ebaec5f55d7a,9d8982ae-4365-4f57-95e9-d6032a4c0b87,Read the names and descriptions  of all channels,Read the names and descriptions of channels,"Read all channel names and channel descriptions, without a signed-in user.","Read channel names and channel descriptions, on behalf of the signed-in user.",Yes,No,no
ChannelMember.Read.All,3b55498e-47ec-484f-8136-9013221c06a9,2eadaff8-0bce-4198-a6b9-2cfc35a30075,Read the members of all channels,Read the members of channels,"Read the members of all channels, without a signed-in user.","Read the members of channels, on behalf of the signed-in user.",Yes,Yes,no
ChannelMember.ReadWrite.All,35930dcf-aceb-4bd1-b99a-8ffed403c974,0c3e411a-ce45-4cd1-8f30-f99a3efa7b11,Add and remove members from all channels,Add and remove members from channels,"Add and remove members from all channels, without a signed-in user. Also allows changing a member's role, for example from owner to non-owner.","Add and remove members from channels, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner.",Yes,Yes,no
ChannelMessage.Edit,-,2b61aa8a-6d36-4b2f-ac7b-f29867937c53,-,Edit user's channel messages,-,"Allows an app to edit channel messages in Microsoft Teams, on behalf of the signed-in user.",-,No,no
