tld,dest_nt_domain,metadata_link
builders,*.builders,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
business,*.business,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
buy,*.buy,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
buzz,*.buzz,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bv,*.bv,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bw,*.bw,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
by,*.by,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bz,*.bz,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bzh,*.bzh,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ca,*.ca,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cab,*.cab,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cafe,*.cafe,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cal,*.cal,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
call,*.call,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
calvinklein,*.calvinklein,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cam,*.cam,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
camera,*.camera,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
camp,*.camp,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
canon,*.canon,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
capetown,*.capetown,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
capital,*.capital,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
capitalone,*.capitalone,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
car,*.car,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
caravan,*.caravan,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cards,*.cards,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
care,*.care,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
career,*.career,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
careers,*.careers,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cars,*.cars,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
casa,*.casa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
case,*.case,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cash,*.cash,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
casino,*.casino,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cat,*.cat,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
catering,*.catering,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
