emoji,emoji_code
*🎳*,U+1F3B3
*🏏*,U+1F3CF
*🏑*,U+1F3D1
*🏒*,U+1F3D2
*🏓*,U+1F3D3
*🏸*,U+1F3F8
*🥊*,U+1F94A
*🥋*,U+1F94B
*⛳*,U+26F3
*🏌*,U+1F3CC
*⛸*,U+26F8
*🎣*,U+1F3A3
*🎽*,U+1F3BD
*🎿*,U+1F3BF
*⛷*,U+26F7
*🏂*,U+1F3C2
*🏄*,U+1F3C4
*🏇*,U+1F3C7
*🏊*,U+1F3CA
*⛹*,U+26F9
*🏋*,U+1F3CB
*🚴*,U+1F6B4
*🚵*,U+1F6B5
*🏎*,U+1F3CE
*🏍*,U+1F3CD
*🤸*,U+1F938
*🤼*,U+1F93C
*🤽*,U+1F93D
*🤾*,U+1F93E
*🤺*,U+1F93A
*🥅*,U+1F945
*🤹*,U+1F939
*🎯*,U+1F3AF
*🎮*,U+1F3AE
*🕹*,U+1F579
*🎲*,U+1F3B2
*♠*,U+2660
*♥*,U+2665
*♦*,U+2666
*♣*,U+2663
*🃏*,U+1F0CF
*🀄*,U+1F004
*🎴*,U+1F3B4
*🔇*,U+1F507
*🔈*,U+1F508
*🔉*,U+1F509
*🔊*,U+1F50A
*📢*,U+1F4E2
*📣*,U+1F4E3
*📯*,U+1F4EF
*🔔*,U+1F514
*🔕*,U+1F515
*🎼*,U+1F3BC
*🎵*,U+1F3B5
*🎶*,U+1F3B6
*🎙*,U+1F399
*🎚*,U+1F39A
*🎛*,U+1F39B
*🎤*,U+1F3A4
*🎧*,U+1F3A7
*📻*,U+1F4FB
*🎷*,U+1F3B7
*🎸*,U+1F3B8
*🎹*,U+1F3B9
*🎺*,U+1F3BA
*🎻*,U+1F3BB
*🥁*,U+1F941
*📱*,U+1F4F1
*📲*,U+1F4F2
*☎*,U+260E
*📞*,U+1F4DE
*📟*,U+1F4DF
*📠*,U+1F4E0
*🔋*,U+1F50B
*🔌*,U+1F50C
*💻*,U+1F4BB
*🖥*,U+1F5A5
*🖨*,U+1F5A8
*⌨*,U+2328
*🖱*,U+1F5B1
*🖲*,U+1F5B2
*💽*,U+1F4BD
*💾*,U+1F4BE
*💿*,U+1F4BF
*📀*,U+1F4C0
*🎥*,U+1F3A5
*🎞*,U+1F39E
*📽*,U+1F4FD
*🎬*,U+1F3AC
*📺*,U+1F4FA
*📷*,U+1F4F7
*📸*,U+1F4F8
*📹*,U+1F4F9
*📼*,U+1F4FC
*🔍*,U+1F50D
*🔎*,U+1F50E
*🔬*,U+1F52C
*🔭*,U+1F52D
*📡*,U+1F4E1
*🕯*,U+1F56F
*💡*,U+1F4A1
*🔦*,U+1F526
*🏮*,U+1F3EE
*📔*,U+1F4D4
*📕*,U+1F4D5
*📖*,U+1F4D6
*📗*,U+1F4D7
*📘*,U+1F4D8
*📙*,U+1F4D9
*📚*,U+1F4DA
*📓*,U+1F4D3
*📒*,U+1F4D2
*📃*,U+1F4C3
*📜*,U+1F4DC
*📄*,U+1F4C4
*📰*,U+1F4F0
*🗞*,U+1F5DE
*📑*,U+1F4D1
*🔖*,U+1F516
*🏷*,U+1F3F7
*💰*,U+1F4B0
*💴*,U+1F4B4
*💵*,U+1F4B5
*💶*,U+1F4B6
*💷*,U+1F4B7
*💸*,U+1F4B8
*💳*,U+1F4B3
*💹*,U+1F4B9
*💱*,U+1F4B1
*💲*,U+1F4B2
*✉*,U+2709
*📧*,U+1F4E7
*📨*,U+1F4E8
*📩*,U+1F4E9
*📤*,U+1F4E4
*📥*,U+1F4E5
*📦*,U+1F4E6
*📫*,U+1F4EB
*📪*,U+1F4EA
*📬*,U+1F4EC
*📭*,U+1F4ED
*📮*,U+1F4EE
*🗳*,U+1F5F3
*✏*,U+270F
*✒*,U+2712
*🖋*,U+1F58B
*🖊*,U+1F58A
*🖌*,U+1F58C
*🖍*,U+1F58D
*📝*,U+1F4DD
*💼*,U+1F4BC
*📁*,U+1F4C1
*📂*,U+1F4C2
