file_extension,metadata_description,metadata_category
*.vdproj,,
*.vec,,
*.veg,,
*.veg-bak,,
*.vehicletunings.gbx,,
*.vfd,,
*.vgm,,
*.vgr,,
*.vhd,,
*.vhdl,,
*.via,,
*.vim,,
*.vip,,
*.viv,,
*.vlm,,
*.vmc,,
*.vmdk,,
*.vmem,,
*.vmf,,
*.vmsd,,
*.vmsn,,
*.vmss,,
*.vmt,,
*.vmtm,,
*.vmx,,
*.vmxf,,
*.vnd,,
*.voc,,
*.vol,,
*.vox,,
*.vpj,,
*.vpk,,
*.vpr,,
*.vproj,,
*.vqf,,
*.vrml97,,
*.vs,,
*.vsa,,
*.vsd,,
*.vsdx,,
*.vsq,,
*.vsqx,,
*.vst,,
*.vsv,,
*.vtf,,
*.vud,,
*.vue,,
*.vvvvvv,,
*.vwx,,
*.w3d,,
*.wad,,
*.wadata,,
*.waindx,,
*.wajournal,,
*.wamodel,,
*.war,,
*.watch,,
*.wav,,
*.wax,,
*.wbfs,,
*.wdb,,
*.wdf,,
*.webloc,,
*.webm,,
*.webp,,
*.wfdb,,
*.wgl,,
*.wim,,
*.win,,
*.win32,,
*.wings,,
*.wk1,,
*.wk3,,
*.wk4,,
*.wks,,
*.wlmp,,
*.wma,,
*.wmdb,,
*.wmf,,
*.wmv,,
*.woff,,
*.wpd,,
*.wps,,
*.wpt,,
*.wq1,,
*.wrap,,
*.wrd,,
*.wrf,,
*.wri,,
*.wrl,,
*.ws,,executable
*.wsc,,
*.wsf,,executable
*.wtv,,
*.wv,,
*.x,,
*.x3d,,
*.x_b,,
*.x_t,,
*.xaml,,
*.xap,,
*.xar,,
*.xbe,,
*.xbm,,
*.xcf,,
*.xcoff,,
*.xdf,,
*.xdt,,
*.xe,,
*.xex,,
*.xht,,
*.xhtml,,document
*.xlf,,
*.xlk,,
*.xlr,,
*.xls,,document
*.xlsb,,
*.xlsm,,document
*.xlsx,,
*.xlt,,
*.xltm,,
*.xlw,,
*.xm,,
*.xmc,,
*.xml,,
*.xpi,,
*.xpl,,
*.xpm,,
*.xps,,
*.xq,,
*.xsl,,
*.xsl-fo,,
*.xslt,,
*.xspf,,
*.xz,,
*.y,,
*.yaml,,
*.ym,,
*.ynab,,
*.yni,,
*.yuv,,
*.z,,
*.z10,,
*.z11,,
*.z12,,
*.z13,,
*.z14,,
*.z15,,
*.z16,,
*.z17,,
*.z18,,
*.z19,,
*.z20,,
*.z21,,
*.z22,,
*.z23,,
*.z24,,
*.z25,,
*.z26,,
*.z27,,
*.z28,,
*.z29,,
*.z30,,
*.z31,,
*.z32,,
*.z33,,
*.z34,,
*.z35,,
*.z36,,
*.z37,,
*.z38,,
*.z39,,
*.z3d,,
*.z40,,
*.z41,,
*.z42,,
*.z43,,
*.z44,,
*.z45,,
*.z46,,
*.z47,,
*.z48,,
*.z49,,
*.z5,,
*.z50,,
*.z51,,
*.z52,,
*.z53,,
*.z54,,
*.z55,,
*.z56,,
*.z57,,
*.z58,,
*.z59,,
*.z60,,
*.z61,,
*.z62,,
*.z63,,
*.z64,,
*.z65,,
*.z66,,
*.z67,,
*.z68,,
*.z69,,
*.z70,,
*.z71,,
*.z72,,
*.z73,,
*.z74,,
*.z75,,
*.z76,,
*.z77,,
*.z78,,
*.z79,,
*.z80,,
*.z81,,
*.z82,,
*.z83,,
*.z84,,
*.z85,,
*.z86,,
*.z87,,
*.z88,,
*.z89,,
*.z90,,
*.z91,,
*.z92,,
*.z93,,
*.z94,,
*.z95,,
*.z96,,
*.z97,,
*.z98,,
*.z99,,
*.zave,,
*.zbmx,,
*.zed,,
*.zif,,
*.zim,,
*.zip,,archive
*.zofzproj,,
*.zone,,
*.zoo,,
*.zpl,,
*.zs1,,
*.zs2,,
*.zs3,,
*.zs4,,
*.zs5,,
*.zs6,,
*.zs7,,
*.zs8,,
*.zs9,,
*.zst,,
*.🗿,,
